ROI Index	Label Name	X	Y	Z
3	LH-VisCent-ExStr-3	-36.0	-81.0	-16.0
4	LH-VisCent-ExStr-4	-17.0	-86.0	-15.0
5	LH-VisCent-ExStr-5	-24.0	-97.0	-12.0
7	LH-VisCent-ExStr-7	-7.0	-98.0	-7.0
18	LH-VisPeri-ExStrSup-6	-5.0	-88.0	2.0
111	LH-Limbic-OFC-3	-10.0	47.0	-21.0
115	LH-Limbic-TempPole-2	-25.0	6.0	-39.0
120	LH-Limbic-TempPole-7	-44.0	5.0	-17.0
122	LH-ContA-IPS-1	-29.0	-74.0	42.0
159	LH-DefaultA-PCC-6	-3.0	-68.0	41.0
192	LH-DefaultC-PHC-1	-21.0	-21.0	-26.0
202	RH-VisCent-ExStr-2	37.0	-73.0	-16.0
204	RH-VisCent-ExStr-4	20.0	-88.0	-13.0
205	RH-VisCent-ExStr-5	42.0	-84.0	-12.0
206	RH-VisCent-ExStr-6	25.0	-97.0	-10.0
207	RH-VisCent-ExStr-7	8.0	-92.0	-2.0
209	RH-VisCent-ExStr-9	24.0	-99.0	7.0
315	RH-Limbic-OFC-3	8.0	47.0	-23.0
317	RH-Limbic-OFC-5	5.0	22.0	-21.0
323	RH-Limbic-TempPole-5	29.0	12.0	-30.0
